Network name: C:\Users\Gleepa\Desktop\Проекты\MFSView\graphs\Regulon.net
Number of nodes: 21097
Number of edges: 521756
Number of single edges: 496104
Number of mutual edges: 25652

Algorithm: sampling
Sampling parameter: 100000
Subgraph Size: 4

Generated: 1 random networks
   with locally constant number of bidirectional edges,
   3 exchanges per edge and 3 tries per edge.

Calculating in the original network took: 34 sec 120 ms

Randomization 0 took: 22 sec 751 ms
Total time of a calculation: 1 min 34 sec
N_G;SKO_G;R;R_;Z_SCORE;COUNT_G
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
5.772056640357E7;1274775.507128031;0.9326833797585886;0.818549873248202;-Infinity;2009.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
1.0119055991705999E8;1674786.5679987282;0.9753530877873164;0.8836148066969655;-Infinity;3522.0
5573812.78362;399788.07667176815;0.8858447488584476;0.5781543355239801;-Infinity;194.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
2.315401311021655E8;2919149.553697152;0.9515611890515261;0.8834543819172017;-Infinity;5919.0
1.4625872549043531E9;5985580.714380817;0.9485176734596061;0.9262010004655005;-Infinity;37389.0
5000990.97653937;287598.3740076012;2.80564528301451;1.8030475315815655;Infinity;443.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
6063308.0454191;486639.12829805724;1.151302109781375;0.6963768553617747;Infinity;155.0
3516112.7493629954;241204.9443876348;2.693767271821026;1.6012078912511603;Infinity;299.0
311162.4856354583;71790.08178901895;9.680571448582988;0.9484130561590972;Infinity;31.0
4606158.208697413;424231.2070553717;1.8858955275093199;0.9926812886559662;Infinity;471.0
66613.576903713;33217.59117469544;4.9E-324;4.9E-324;-Infinity;14.0
6519.6860703431175;15969.890850406042;4.9E-324;4.9E-324;-Infinity;1.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
5.3445394536546E8;3535390.042994087;0.9539976409046619;0.917382267901985;-Infinity;18602.0
6.794880017144999E7;1380603.54817723;0.9156020131629886;0.812457201843562;-Infinity;2365.0
3936146.14101;336057.2237481113;0.8353658536585366;0.5035394876935783;-Infinity;137.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
1.7634446883064067E8;2566586.1296702586;1.0312065246142241;0.9447981477906543;Infinity;4508.0
471316.38795375184;88352.04898253965;3.8552225187984965;0.8039920267209272;Infinity;40.0
6.880876678640127E7;1626140.9061231145;0.9189746365872563;0.8001614063660727;-Infinity;1759.0
223385.72001887675;60828.183070749794;6.94974980296746;0.40495142713552956;Infinity;19.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
3669787.402166406;246415.33443663214;3.5061706541512896;2.035743993862439;Infinity;324.0
83322.28242784191;37150.548635056606;1.0203697383556198;-0.14695648611535264;Infinity;13.0
1386005.333681582;151488.77550599424;4.693218524955709;1.8481664009952685;Infinity;117.0
71913.1218260434;34513.67055652824;3.046626757081247;-0.3828441089346737;Infinity;6.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
1.4786648007538192E7;759104.6655632451;0.9909499753260563;0.7280857872056224;-Infinity;378.0
1.1097027266609614E9;5576561.107619298;1.020175370003694;0.9899215112412207;Infinity;28368.0
2971216.876945253;221746.89895658824;3.6390049819345887;1.9819238480316876;Infinity;251.0
1.0366300851845558E8;1986873.7319701565;1.090895664068011;0.9705503500794193;Infinity;2650.0
199605.17773105705;57499.573951487786;2.4443771466803885;0.14161250075479706;Infinity;19.0
1.1805847536177318E8;2116336.5966848307;1.0066844585834713;0.9043622171948258;Infinity;3018.0
